"","title","description","collection_identifier","persistent_identifier","persistent_url","project_identifier","organisational_unit","type","preservation_time","state","publisher","data_use agreement","ethical_approvals","free_keywords","sfn_keywords","mesh_keywords","version","associated_publications","associated_data","associated_analysis tools","associated_preregistrations","authors","managers","contributors","number_of files","size","quota","creation_date","last_update date","embargo_until","publication_date","archival_date","viewers_by dua","viewers_by manager","views","downloads","data_volume","viewers","downloaders","year"
"43","Rhythm-affected plural variation in written Dutch","This repository contains data and analysis files associated with the paper ""Rhythm-affected plural variation in written Dutch"".","ru.cls.rhythm_and_dutch_plurals_dsc_558","10.34973/hqyq-7q43","https://doi.org/10.34973/hqyq-7q43","rhythm_and_dutch_plurals","CLS","Data Sharing Collection",10,"Reviewable External","Radboud University","CC0-1.0",NA,"prosody; plural inflection; morphology; linguistics; Principle of Rhythmic Alternation; Dutch",NA,NA,0,NA,NA,NA,NA,"Zee, T.J.; Bosch, L.F.M. ten; Ernestus, M.T.C.","Zee, T.J. (Tim); Heuvel, H. van den (Henk); Ernestus, M.T.C.; Bosch, L.F.M. ten",NA,61,8317569357,10737418240,2023-06-15 07:30:05,2023-09-22 13:08:43,NA,NA,NA,0,1,22,4,10882,7,2,2023
"44","SENTENCES: Social media analysis to promote cancer screening",NA,"ru.cls.sentences_social_media_analysis_dac_311","10.34973/2qxg-jf98","https://doi.org/10.34973/2qxg-jf98","sentences_social_media_analysis","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stortenbeker, I.A.; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-03-13 14:46:16,2023-03-13 14:46:19,NA,NA,NA,0,0,3,0,0,2,0,2023
"45","The role of second language in higher education",NA,"ru.cls.role_second_language_higher_education_rdc_630","10.34973/qfrv-a293","https://doi.org/10.34973/qfrv-a293","role_second_language_higher_education","CLS","Research Documentation Collection",10,"Reviewable Internal","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Zijlmans, A.H.M.",NA,1,203,5368709120,2022-12-20 10:13:47,2022-12-20 10:13:50,NA,NA,NA,0,0,5,0,0,4,0,2022
"46","The role of second language in higher education",NA,"ru.cls.role_second_language_higher_education_dac_675","10.34973/rmbe-bh11","https://doi.org/10.34973/rmbe-bh11","role_second_language_higher_education","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Zijlmans, A.H.M.",NA,1,203,5368709120,2022-12-20 10:11:40,2022-12-20 10:11:43,NA,NA,NA,0,0,2,0,0,2,0,2022
"47","Reporter's Test",NA,"ru.cls.reporters_test_rdc_566","10.34973/x65z-xn34","https://doi.org/10.34973/x65z-xn34","reporters_test","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-03-16 08:01:35,2023-03-16 08:01:39,NA,NA,NA,0,0,1,0,0,1,0,2023
"48","Reading Beyond Borders (VI.VENI.201T.011)","This research proposes an in-depth and longitudinal investigation of second-language (L2) reading comprehension of primary school children (aged 8-12) in non-Western educational contexts. Many L2 speakers struggle with reading comprehension, but most studies have tried to explain these reading comprehension difficulties focussing on Western contexts. Building scientific theories solely on Western Educated Industrialized Rich and Democratic (WEIRD) countries will bias the development of generic principles of second-language acquisition, as these samples are not indicative of the general human population. The current study addresses this Western bias and expands the research field towards non-WEIRD contexts by targeting mother-tongue speakers of Akan and isiZulu (Niger-Congo group) and Cantonese (Sino-Tibetan group) in Ghana, South Africa, and Hong Kong, three former British colonies that have institutionalised non-native varieties of English. The research will answer two questions. Firstly, how does children’s English L2 reading comprehension develop over a longer period of time, and how can this development be predicted by L2 morphological awareness and vocabulary knowledge? Secondly, how does children’s L1 language structure awareness predict the development of their English L2 morphological awareness, and, indirectly, their L2 reading comprehension? Structural Equation Modelling (SEM) is used as an analytical framework. This is the first longitudinal study in a non-Western context that investigates the role of L1 and L2 linguistic skills on reading comprehension development in English as a second-language. The unique comparison of both African and Asian countries that have institutionalised English in their societies allows for a coverage of considerable variation in English L2 populations in terms of L1 language characteristics, and socio-economic and cultural backgrounds. Research findings will be unravelled and analysed for components that can be translated into pedagogical guidelines and teaching methods for multilingual classroom contexts.","ru.cls.reading_beyond_borders_dsc_928","10.34973/md31-t786","https://doi.org/10.34973/md31-t786","reading_beyond_borders","CLS","Data Sharing Collection",10,"Reviewable External","Radboud University","CC0-1.0",NA,"vocabulary knowledge; reading comprehension; morphological awareness; cross-linguistic transfer; bilingualism; English as a second language",NA,NA,0,NA,NA,NA,NA,"Stoffelsma, C.E. (Lieke)","Stoffelsma, C.E. (Lieke); Heuvel, H. van den (Henk)",NA,4,28053,5368709120,2024-03-21 11:31:29,2024-04-06 17:07:01,NA,NA,NA,0,1,13,2,599,6,1,2024
"49","Reporter's Test",NA,"ru.cls.reporters_test_dac_719","10.34973/w526-n012","https://doi.org/10.34973/w526-n012","reporters_test","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Janse, E.; Heuvel, H. van den (Henk)","Haverkort, A.M.; Schuppert, E.S.",144,422505164,5368709120,2023-03-30 07:15:46,2023-09-26 07:29:22,NA,NA,NA,0,0,111,291,873166797,88,68,2023
"50","Relationships between speech production and speech perception: processes and representations",NA,"ru.cls.relationships_speech_production_speech_perception_dac_049","10.34973/e3b2-tm73","https://doi.org/10.34973/e3b2-tm73","relationships_speech_production_speech_perception","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Zhang, X. (Xinyu); Schoonen, J.J.M.",NA,11928,4692828722,5368709120,2022-04-21 06:45:52,2023-01-12 14:45:35,NA,NA,NA,0,0,8,10678,81841671566,6,49,2022
"51","Reading Beyond Borders (VI.VENI.201T.011)",NA,"ru.cls.reading_beyond_borders_rdc_749","10.34973/saxs-ww50","https://doi.org/10.34973/saxs-ww50","reading_beyond_borders","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stoffelsma, C.E. (Lieke); Heuvel, H. van den (Henk)",NA,1,203,5368709120,2024-03-21 11:30:35,2024-03-21 11:30:37,NA,NA,NA,0,0,4,0,0,3,0,2024
"52","Reporter's Test",NA,"ru.cls.reporters_test_rdc_079","10.34973/2hsp-mr60","https://doi.org/10.34973/2hsp-mr60","reporters_test","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Janse, E.; Heuvel, H. van den (Henk)","Haverkort, A.M.; Schuppert, E.S.",2,580201,5368709120,2023-03-30 07:16:43,2023-04-03 15:18:17,NA,NA,NA,0,0,17,0,0,9,0,2023
"53","Relationships between speech production and speech perception: processes and representations",NA,"ru.cls.relationships_speech_production_speech_perception_rdc_671","10.34973/k4ad-5810","https://doi.org/10.34973/k4ad-5810","relationships_speech_production_speech_perception","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Zhang, X. (Xinyu); Schoonen, J.J.M.",NA,1,203,5368709120,2022-04-21 06:47:16,2022-04-21 06:47:21,NA,NA,NA,0,0,3,0,0,3,0,2022
"54","Reporter's Test",NA,"ru.cls.reporters_test_dac_387","10.34973/3mxk-ap31","https://doi.org/10.34973/3mxk-ap31","reporters_test","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-03-16 08:00:18,2023-03-16 08:00:21,NA,NA,NA,0,0,1,0,0,1,0,2023
"55","Contact-induced prosodic change in Italo-Albanian heritage dialects",NA,"ru.cls.prosodic_change_rdc_759","10.34973/jxc3-d926","https://doi.org/10.34973/jxc3-d926","prosodic_change","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Lushaj, B.",NA,1,203,5368709120,2021-07-08 08:24:00,2021-10-08 08:54:09,NA,NA,NA,0,0,4,0,0,3,0,2021
"56","Contact-induced prosodic change in Italo-Albanian heritage dialects","This collection contains spontaneous conversations and experimental data with speakers of Italo-Albanian (Arbëresh) varieties. The data was collected between 2011 and 2016, funded by the University of Leiden. The files are organized based the following levels (in descending order) 1) Type of data [Experimental - Spontaneous Speech], 2) Community name. The communities represented in the collection are (in their Italian name): Caraffa di Catanzaro, Greci, Piana degli Albanesi, Marri, San Benedetto, San Marzano di San Giuseppe. Files are in .WAV and .MP3 formats.","ru.cls.prosodic_change_dac_721","10.34973/1wvs-b220","https://doi.org/10.34973/1wvs-b220","prosodic_change","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,"Arbëresh, Albanian, Spontaneous Speech, Oral History",NA,NA,0,NA,NA,NA,NA,NA,"Lushaj, B.","Hooiveld, T.W.; Laar, G.J. van",52,5383391975,10737418240,2021-07-08 08:22:52,2022-01-12 12:04:20,NA,NA,NA,0,0,14,3,378867169,9,2,2021
"57","Pronouns of address in services marketing",NA,"ru.cls.pronouns_of_address_in_services_marketing_dsc_421","10.34973/k7jv-1w93","https://doi.org/10.34973/k7jv-1w93","pronouns_of_address_in_services_marketing","CLS","Data Sharing Collection",10,"Editable","Radboud University","CC-BY-NC-SA-4.0",NA,NA,NA,NA,0,NA,NA,NA,NA,"Hoop, H. de (Helen); Levshina, N.G. (Natalia); Sadowski, S. (Sebastian); Gert-Jan Schoenmakers","Hoop, H. de (Helen); Heuvel, H. van den (Henk)","Sadowski, S. (Sebastian); Levshina, N.G. (Natalia)",3,802,5368709120,2024-02-16 11:09:15,2024-03-06 09:29:25,NA,NA,NA,0,0,12,0,0,5,0,2024
"58","Quotatives in the International Corpus of English",NA,"ru.cls.quotatives_international_corpus_english_dac_033","10.34973/c77b-v219","https://doi.org/10.34973/c77b-v219","quotatives_international_corpus_english","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Pabst, K. (Katharina)","Wouters, G.E. (Gwennan)",8846,411441423,5368709120,2024-02-26 12:46:10,2024-03-14 15:04:38,NA,NA,NA,0,0,13,8846,412812113,8,5,2024
"59","RADAr Predictive Validity",NA,"ru.cls.radar_predictive_validity_rdc_384","10.34973/8qbw-4062","https://doi.org/10.34973/8qbw-4062","radar_predictive_validity","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Czajkowski, M.",NA,1,203,5368709120,2022-10-06 07:10:39,2022-10-06 07:10:42,NA,NA,NA,0,0,1,0,0,1,0,2022
"60","Quotatives in the International Corpus of English",NA,"ru.cls.quotatives_international_corpus_english_rdc_923","10.34973/mt7g-d847","https://doi.org/10.34973/mt7g-d847","quotatives_international_corpus_english","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Pabst, K. (Katharina); Heuvel, H. van den (Henk)",NA,1,203,5368709120,2024-02-26 12:47:16,2024-02-26 12:47:17,NA,NA,NA,0,0,3,0,0,3,0,2024
"61","Looking for exemplar effects: testing the comprehension and memory representations of r'duced words in Dutch learners of French",NA,"ru.cls.rduced_words_in_dutch_learners_of_french_dsc_867","10.34973/qseg-zz22","https://doi.org/10.34973/qseg-zz22","rduced_words_in_dutch_learners_of_french","CLS","Data Sharing Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Morano, L.A.; Ernestus, M.T.C.; Bosch, L.F.M. ten",NA,3,797,5368709120,2022-09-02 08:15:41,2022-09-02 08:15:46,NA,NA,NA,0,0,1,0,0,1,0,2022
"62","Reading Beyond Borders (VI.VENI.201T.011)",NA,"ru.cls.reading_beyond_borders_dac_983","10.34973/q0yk-n157","https://doi.org/10.34973/q0yk-n157","reading_beyond_borders","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stoffelsma, C.E. (Lieke); Heuvel, H. van den (Henk)",NA,2,15841,5368709120,2024-03-21 11:29:49,2024-03-21 12:21:37,NA,NA,NA,0,0,4,1,203,3,1,2024
"63","RADAr Predictive Validity",NA,"ru.cls.radar_predictive_validity_dac_908","10.34973/6xg6-tq43","https://doi.org/10.34973/6xg6-tq43","radar_predictive_validity","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Czajkowski, M.",NA,1,203,5368709120,2022-10-06 07:09:29,2022-10-06 07:09:35,NA,NA,NA,0,0,1,0,0,1,0,2022
"64","Pronouns of address and donations","Using an informal pronoun of address can have a positive effect on intentions to donate money. An online experiment (n = 220) found that a charitable appeal to potential donors was more effective when an informal rather than a formal second person pronoun was used in Dutch, particularly for altruistic people.","ru.cls.pronouns_of_address_and_donations_dsc_505","10.34973/d1r0-q798","https://doi.org/10.34973/d1r0-q798","pronouns_of_address_and_donations","CLS","Data Sharing Collection",10,"Editable","Radboud University","CC-BY-NC-SA-4.0",NA,NA,NA,NA,0,NA,NA,NA,NA,"Sadowski, S. (Sebastian); Hoop, H. de (Helen)","Sadowski, S. (Sebastian); Hoop, H. de (Helen); Heuvel, H. van den (Henk)",NA,3,802,5368709120,2024-02-16 11:07:10,2024-02-19 13:58:27,NA,NA,NA,0,0,6,0,0,3,0,2024
"65","Pilot for testing training of vocal emotion recognition",NA,"ru.cls.pilot_testing_training_vocal_emotion_recognition_rdc_015","10.34973/x0gt-2224","https://doi.org/10.34973/x0gt-2224","pilot_testing_training_vocal_emotion_recognition","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Krieken, K.W.M. van; Heuvel, H. van den (Henk); Broersma, M.E.; Blankestijn, F.D.G.",NA,10,1165708,5368709120,2023-11-01 07:52:00,2023-12-22 15:15:01,NA,NA,NA,0,0,10,0,0,10,0,2023
"66","Processing pronouns of address: The impact of being addressed with a polite or an informal pronoun",NA,"ru.cls.pronouns_address_rdc_433","10.34973/yv18-ck57","https://doi.org/10.34973/yv18-ck57","pronouns_address","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Sanchez Carrasco, P. (Patricia); Hoop, H. de (Helen); Hartog, M.M.J. den (Maria)","Willems, R.M.; Schoenmakers, G.T.; Hogeweg, L.; Suijkerbuijk, M.J.P.F.",68,5367088382,32212254720,2021-09-17 08:44:04,2022-01-20 10:37:49,NA,NA,NA,0,0,53,172,26903175667,34,27,2021
"67","Pronouns of address and price estimation",NA,"ru.cls.pronouns_address_price_estimation_dsc_322","10.34973/8qbv-n532","https://doi.org/10.34973/8qbv-n532","pronouns_address_price_estimation","CLS","Data Sharing Collection",10,"Editable","Radboud University","CC-BY-NC-SA-4.0",NA,NA,NA,NA,0,NA,NA,NA,NA,"Hubers, F.C.W.; Hogeweg, L.; Hoop, H. de","Hubers, F.C.W.; Hoop, H. de (Helen); Heuvel, H. van den (Henk)",NA,3,802,5368709120,2023-07-26 07:19:33,2023-07-27 08:30:48,NA,NA,NA,0,0,9,0,0,5,0,2023
"68","Processing pronouns of address",NA,"ru.cls.pronouns_address_dsc_691","10.34973/e07p-8c72","https://doi.org/10.34973/e07p-8c72","pronouns_address","CLS","Data Sharing Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Sanchez Carrasco, P. (Patricia); Hoop, H. de (Helen); Hartog, M.M.J. den (Maria)","Willems, R.M.; Schoenmakers, G.T.; Hogeweg, L.; Suijkerbuijk, M.J.P.F.",1,203,5368709120,2021-09-17 08:02:47,2021-11-01 17:08:48,NA,NA,NA,0,0,25,4,812,15,4,2021
"69","Predictors of word and text reading fluency of deaf children",NA,"ru.cls.predictors_reading_fluency_deaf_children_dac_161","10.34973/rey7-ha75","https://doi.org/10.34973/rey7-ha75","predictors_reading_fluency_deaf_children","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Ormel, E.A.",NA,3,4299,5368709120,2022-02-24 08:22:07,2022-03-17 10:59:15,NA,NA,NA,0,0,3,3,4299,2,1,2022
"70","Processing pronouns of address: The impact of being addressed with a polite or an informal pronoun",NA,"ru.cls.pronouns_address_dac_723","10.34973/mqem-mt75","https://doi.org/10.34973/mqem-mt75","pronouns_address","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Sanchez Carrasco, P. (Patricia); Hoop, H. de (Helen); Hartog, M.M.J. den (Maria)","Willems, R.M.; Schoenmakers, G.T.; Hogeweg, L.; Suijkerbuijk, M.J.P.F.",1,203,5368709120,2021-09-17 08:42:37,2021-11-01 17:07:35,NA,NA,NA,0,0,43,0,0,21,0,2021
"71","Pilot for testing training of vocal emotion recognition",NA,"ru.cls.pilot_testing_training_vocal_emotion_recognition_dsc_644","10.34973/5nw4-e434","https://doi.org/10.34973/5nw4-e434","pilot_testing_training_vocal_emotion_recognition","CLS","Data Sharing Collection",10,"Editable","Radboud University","CC0-1.0",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Krieken, K.W.M. van; Heuvel, H. van den (Henk); Broersma, M.E.; Blankestijn, F.D.G.",NA,3,802,5368709120,2023-11-01 07:53:11,2023-11-01 07:53:14,NA,NA,NA,0,0,19,0,0,5,0,2023
"72","Predictors of word and text reading fluency of deaf children",NA,"ru.cls.predictors_reading_fluency_deaf_children_rdc_193","10.34973/hp71-6802","https://doi.org/10.34973/hp71-6802","predictors_reading_fluency_deaf_children","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Ormel, E.A.",NA,4,46605,5368709120,2022-02-24 08:23:32,2022-03-17 12:12:36,NA,NA,NA,0,0,4,29,105253,3,3,2022
"73","Personal Data",NA,"ru.cls.personal_data_rdc_885","10.34973/0heg-7w13","https://doi.org/10.34973/0heg-7w13","personal_data","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Pabst, K. (Katharina); Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-04-14 07:04:04,2023-04-14 07:04:08,NA,NA,NA,0,0,1,0,0,1,0,2023
"74","Pilot for testing training of vocal emotion recognition",NA,"ru.cls.pilot_testing_training_vocal_emotion_recognition_dac_770","10.34973/fw90-6c43","https://doi.org/10.34973/fw90-6c43","pilot_testing_training_vocal_emotion_recognition","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Krieken, K.W.M. van; Heuvel, H. van den (Henk); Broersma, M.E.; Blankestijn, F.D.G.",NA,1,203,5368709120,2023-11-01 07:51:01,2023-11-01 07:51:02,NA,NA,NA,0,0,1,0,0,1,0,2023
"75","Personal Data",NA,"ru.cls.personal_data_dac_783","10.34973/ss5b-rs78","https://doi.org/10.34973/ss5b-rs78","personal_data","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Pabst, K. (Katharina); Heuvel, H. van den (Henk)",NA,193,8286964,5368709120,2023-04-14 07:03:18,2023-08-31 16:12:21,NA,NA,NA,0,0,2,0,0,2,0,2023
"76","Hoe wordt online gepraat over het bevolkingsonderzoek?",NA,"ru.cls.online_gepraat_bevolkingsonderzoek_dac_356","10.34973/7gn4-yz81","https://doi.org/10.34973/7gn4-yz81","online_gepraat_bevolkingsonderzoek","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stortenbeker, I.A.",NA,1,203,5368709120,2022-10-21 10:42:09,2022-10-21 10:42:12,NA,NA,NA,0,0,3,0,0,3,0,2022
"77","Comparative analysis of (crime) news discourse in Dutch and Iranian media",NA,"ru.cls.news_discourse_dutch_iranian_media_dsc_216","10.34973/8n3d-ct86","https://doi.org/10.34973/8n3d-ct86","news_discourse_dutch_iranian_media","CLS","Data Sharing Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Spooren, W.P.M.S.; Rafiee, A.",NA,3,802,5368709120,2022-12-07 08:03:33,2022-12-07 08:03:38,NA,NA,NA,0,0,5,4,1152,4,2,2022
"78","Hoe wordt online gepraat over het bevolkingsonderzoek?","Data collected during the CIS MA course ""Fundamenteel Onderzoek""","ru.cls.online_gepraat_bevolkingsonderzoek_rdc_048","10.34973/86a4-q826","https://doi.org/10.34973/86a4-q826","online_gepraat_bevolkingsonderzoek","CLS","Research Documentation Collection",10,"Reviewable Internal","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stortenbeker, I.A.",NA,7,457240,5368709120,2022-10-21 10:43:15,2023-03-13 14:05:32,NA,NA,NA,0,0,10,0,0,2,0,2022
"79","Testing Decomposition, Full-Listing, and Dual-Route Models for Morphological Processing in Visual and Auditory Word Recognition","Morphologically complex words like persons are theoretically processed either a) via decomposition into their morphemes (decomposition model), b) as a whole (full-listing model), or c) through a parallel combination of full-listing and decomposition mechanisms (dual-route model). We tested these three models against each other on the same dataset for the first time, comparing visual and auditory word comprehension. Using a simulation study, we found that it is possible to determine whether a synthesized distribution of response times was produced by either a decomposition, a full-listing, or a dual-route model. Based on this, we modeled response time distributions of a large scale visual and a large scale auditory lexical decision experiment in Dutch, focusing on three different suffixes. Our results indicate that during visual word recognition nouns with the plural suffix -en, nouns with the derivational suffix -heid, and verbs with the second/third person singular present tense suffix -t are retrieved as a whole. For auditory word recognition, we obtained the same results except for nouns with the plural suffix -en, for which all processing models were equally supported by the data. These results suggest that a full-listing model yields the best fit, regardless of the modality and regardless of the suffix. Our study emphasizes the importance of testing quantifiable predictions in the form of concrete model implementations, which has not been done in this field of research.","ru.cls.morphology_spoken_word_recognition_dsc_335","10.34973/jm3a-vj10","https://doi.org/10.34973/jm3a-vj10","morphology_spoken_word_recognition","CLS","Data Sharing Collection",10,"Reviewable External","Radboud University","CC0-1.0",NA,"visual word recognition; morphological processing; lexical decision; dual-route model; computational modeling; auditory word recognition",NA,NA,0,NA,NA,NA,NA,"Müller, H.M. (Hanno); Bosch, L.F.M. ten (Louis); Ernestus, M.T.C. (Mirjam)","Müller, H.M. (Hanno)",NA,912,1565028985,5368709120,2021-12-21 08:12:35,2024-03-01 16:53:39,NA,NA,NA,0,0,48,107,40088267,19,10,2021
"80","Narrative perspectives in schizophrenic language DAC","This Data Acquisition collection contains the archived raw data, meta-data and information on data acquisition and analysis regarding the PhD project 'narrative perspectives of schizophrenic language'. 

This is information regarding the creation and analyses of two corpora:
•	Corpus I consists of 24 narrative interview transcription in which people with a schizophrenia diagnosis (SZ) talk about their life events during a semi-structured interview 
•	Corpus II consists of 23 retellings of a 5-minute video (the ‘Pear Story’) by people with a schizophrenia diagnosis (SZ), and 23 retellings of the same video by a control group

See the README.txt file for more information.","ru.cls.narrative_perspectives_raw_data_dac_306","10.34973/0e4t-yn85","https://doi.org/10.34973/0e4t-yn85","narrative_perspectives_raw_data","CLS","Data Acquisition Collection",10,"Reviewable Internal","Radboud University",NA,"CMO regio A-N 2017-4007",NA,NA,NA,0,"DOI: 10.16995/olh.487; DOI: 10.1515/cog-2022-0045; DOI: 10.1007/978-3-030-56696-8_10",NA,NA,NA,NA,"Schuppen, S.L. van; Krieken, K.W.M. van; Heuvel, H. van den (Henk)",NA,800,4757962674,26843545600,2023-03-23 08:22:00,2023-07-12 16:44:01,NA,NA,NA,0,1,140,1,67328,17,1,2023
"81","Do not use",NA,"ru.cls.narrative_perspectives_raw_data_rdc_694","10.34973/bxjx-gf58","https://doi.org/10.34973/bxjx-gf58","narrative_perspectives_raw_data","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Schuppen, S.L. van; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-03-23 08:22:59,2023-04-14 14:35:10,NA,NA,NA,0,0,8,0,0,4,0,2023
"82","Do not use",NA,"ru.cls.narrative_perspectives_informed_consent_rdc_242","10.34973/yhvm-xf17","https://doi.org/10.34973/yhvm-xf17","narrative_perspectives_informed_consent","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Schuppen, S.L. van; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-03-23 08:28:34,2023-04-14 14:36:05,NA,NA,NA,0,0,5,0,0,3,0,2023
"83","Narrative perspectives in schizophrenic language - RDC",NA,"ru.cls.narrative_perspectives_metadata_participants_rdc_222","10.34973/ephf-6j69","https://doi.org/10.34973/ephf-6j69","narrative_perspectives_metadata_participants","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Schuppen, S.L. van; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-03-23 08:25:47,2023-04-06 11:45:48,NA,NA,NA,0,0,11,0,0,5,0,2023
"84","Do not use",NA,"ru.cls.narrative_perspectives_metadata_participants_dac_715","10.34973/b4cs-f294","https://doi.org/10.34973/b4cs-f294","narrative_perspectives_metadata_participants","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Schuppen, S.L. van; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-03-23 08:24:55,2023-04-14 14:35:28,NA,NA,NA,0,0,5,0,0,3,0,2023
"85","Do not use",NA,"ru.cls.narrative_perspectives_informed_consent_dac_549","10.34973/zw9c-s190","https://doi.org/10.34973/zw9c-s190","narrative_perspectives_informed_consent","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Schuppen, S.L. van; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-03-23 08:27:45,2023-04-14 14:35:45,NA,NA,NA,0,0,4,0,0,2,0,2023
"86","Measuring Word Correctness in Young Initial Readers: Comparing Assessments from Teachers, Phoneticians, and ASR Models",NA,"ru.cls.measuring_word_correctness_in_young_initial_readers_dsc_803","10.34973/pf1s-yf23","https://doi.org/10.34973/pf1s-yf23","measuring_word_correctness_in_young_initial_readers","CLS","Data Sharing Collection",10,"Editable","Radboud University","CC0-1.0",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Strik, W.A.J. (Helmer); Heuvel, H. van den (Henk); Harmsen, W.N. (Wieke); Cucchiarini, C.",NA,3,802,5368709120,2023-09-08 08:01:12,2023-09-08 08:01:14,NA,NA,NA,0,0,3,0,0,3,0,2023
"87","Mondelingenproject",NA,"ru.cls.mondelingenproject_dac_566","10.34973/6q7h-w185","https://doi.org/10.34973/6q7h-w185","mondelingenproject","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stommel, W.J.P. (Wyke); Heuvel, H. van den (Henk)","Wagelaar, E.M. (Eline); Breukelman, H.Z.; Wal, E.F. van der (Ester); Duijzer, B.J. (Britt); Gielen, P. (Puck); Esch, T.T.A. van (Tim)",75,40984824601,53687091200,2023-02-22 13:27:04,2024-04-04 14:00:20,NA,NA,NA,0,0,431,279,392600797793,183,147,2023
